SiteId,SiteLocation,Date,DayOfWeek,TravelDirection,Hour1,Hour2,Hour3,Hour4,Hour5,Hour6,Hour7,Hour8,Hour9,Hour10,Hour11,Hour12,Hour13,Hour14,Hour15,Hour16,Hour17,Hour18,Hour19,Hour20,Hour21,Hour22,Hour23,Hour24
S203,On SR 090 at milepost 10.82 A: E/O I-405 I/C - BELLEVUE                                    ,3/15/2007,Thursday,Eastbound,644,417,246,268,552,1420,2915,4368,4687,4551,3981,4170,4248,4511,5040,5853,6754,7042,6159,4010,3149,2768,1888,1072
S203,On SR 090 at milepost 10.82 A: E/O I-405 I/C - BELLEVUE                                    ,3/16/2007,Friday,Eastbound,664,349,291,315,528,1347,2835,4227,4669,4238,4255,4595,4713,4825,4533,6531,7127,7292,5611,3842,2891,2839,2376,1702
S203,On SR 090 at milepost 10.82 A: E/O I-405 I/C - BELLEVUE                                    ,3/17/2007,Saturday,Eastbound,1093,686,526,321,348,542,1098,1835,3017,3705,3810,4210,4391,3946,4417,4340,4343,4155,3733,2787,2500,2719,2488,1659
S203,On SR 090 at milepost 10.82 A: E/O I-405 I/C - BELLEVUE                                    ,3/18/2007,Sunday,Eastbound,1141,715,571,353,254,381,584,1113,1880,2569,3387,3953,4559,4060,975,4593,4357,3982,3447,3062,2386,1946,1282,797
S203,On SR 090 at milepost 10.82 A: E/O I-405 I/C - BELLEVUE                                    ,3/19/2007,Monday,Eastbound,504,250,172,243,545,1355,2967,4336,4509,3889,3730,3879,3876,4109,4801,5595,6140,6568,6081,3416,2518,2153,1296,877
S203,On SR 090 at milepost 10.82 A: E/O I-405 I/C - BELLEVUE                                    ,3/20/2007,Tuesday,Eastbound,566,331,203,253,534,1461,2891,4203,4459,4180,3834,3969,3837,3993,4385,5628,6296,6811,5901,3795,2855,2500,1695,924
S203,On SR 090 at milepost 10.82 A: E/O I-405 I/C - BELLEVUE                                    ,3/21/2007,Wednesday,Eastbound,548,287,220,244,529,1457,2842,4281,4532,4624,4007,4184,4380,4226,4865,5693,6751,7288,5723,3710,3033,2800,1968,1037
S203,On SR 090 at milepost 10.82 A: E/O I-405 I/C - BELLEVUE                                    ,3/22/2007,Thursday,Eastbound,634,338,265,289,561,1439,2809,3917,4286,4174,3916,3957,3619,4258,4837,5841,6031,6279,6069,3889,3013,2746,1942,1368
S203,On SR 090 at milepost 10.82 A: E/O I-405 I/C - BELLEVUE                                    ,3/23/2007,Friday,Eastbound,722,421,285,297,548,1398,2881,4295,4340,4133,4073,4362,4361,4628,5399,6229,5704,7560,5711,3821,2826,2723,2414,1694
S203,On SR 090 at milepost 10.82 A: E/O I-405 I/C - BELLEVUE                                    ,3/24/2007,Saturday,Eastbound,1118,714,479,274,388,587,1022,1917,2796,3528,3718,4039,4264,4319,4385,4414,4594,4471,3657,2920,2469,2535,2307,1569
S203,On SR 090 at milepost 10.82 A: E/O I-405 I/C - BELLEVUE                                    ,3/25/2007,Sunday,Eastbound,1200,718,484,274,243,374,652,1014,1836,2464,3365,3711,4363,4629,4489,4464,4429,4188,3569,3051,2619,2297,1055,917
S203,On SR 090 at milepost 10.82 A: E/O I-405 I/C - BELLEVUE                                    ,3/26/2007,Monday,Eastbound,525,298,211,258,541,1403,2843,4062,4488,4170,3719,3833,3945,4173,4764,5721,6462,7070,5427,3436,2652,2263,1519,954
S203,On SR 090 at milepost 10.82 A: E/O I-405 I/C - BELLEVUE                                    ,3/27/2007,Tuesday,Eastbound,534,320,230,249,473,1336,2840,4200,4492,4476,2615,3796,4078,4273,5146,5711,6431,6535,6025,3671,2749,2692,1648,949
S203,On SR 090 at milepost 10.82 A: E/O I-405 I/C - BELLEVUE                                    ,3/28/2007,Wednesday,Eastbound,551,327,230,247,588,1476,3021,4249,4539,4410,3958,4110,4260,4330,4235,5704,6548,7362,5754,3812,3266,2641,1733,1075
S203,On SR 090 at milepost 10.82 A: E/O I-405 I/C - BELLEVUE                                    ,3/29/2007,Thursday,Eastbound,601,370,259,266,585,1453,3007,4380,4604,4329,3935,4125,4249,4293,4696,6362,6738,7082,5763,3880,3077,2856,1852,1204
